5.360174001780152e-5	5.466714452019206e-5	5.8975203393150314e-5	6.104304720717151e-5	5.9795930524837244e-5	4.9022454708676825e-5	2.6742033072124e-5	5.628052996008875e-7	-1.5503058353141482e-5	-2.1516965561994063e-5	-2.2389300663254322e-5	-2.5187928091860554e-5	-3.628598921533762e-5	-4.877905616696907e-5	-5.417639563544733e-5	-5.604942151586569e-5
5.459322026211337e-5	5.56403542984845e-5	6.031006058029609e-5	6.257791614105395e-5	6.150081963676997e-5	5.055548081507185e-5	2.7474640132525683e-5	4.971846444005914e-7	-1.5962955743103373e-5	-2.1931543586787498e-5	-2.3072094769196138e-5	-2.6118736387778388e-5	-3.756925384961848e-5	-4.987763315627544e-5	-5.5282297307378834e-5	-5.705685163963982e-5
5.5898679404278455e-5	5.712266126036222e-5	6.255672227486095e-5	6.524087952599029e-5	6.396118943034898e-5	5.2316807954491206e-5	2.9053237077739243e-5	-5.547727734904977e-7	-1.7157230483698816e-5	-2.2826338309535755e-5	-2.471596642988498e-5	-2.843808613324576e-5	-4.054515137435306e-5	-5.258185758901383e-5	-5.798374169096811e-5	-5.968358067087837e-5
5.5682624322499955e-5	5.7138935605532536e-5	6.343748322756093e-5	6.681419211492447e-5	6.441813959505301e-5	5.1830134460708115e-5	2.6676660788008167e-5	-2.827183372488206e-6	-2.1026356636496185e-5	-2.370189954838318e-5	-2.7661269020086025e-5	-3.280207747666472e-5	-4.5339619292954355e-5	-5.7202861382805184e-5	-6.259900153907181e-5	-6.410276546324053e-5
5.279670583725523e-5	5.4518482772248904e-5	6.198002963759545e-5	6.566724651961374e-5	6.151372488911213e-5	4.884540712703301e-5	2.1942073733517143e-5	-5.986642310732386e-6	-2.3244336991235816e-5	-2.6295994547009355e-5	-3.1967702927943514e-5	-3.887910750086633e-5	-5.159396197669503e-5	-6.317529072368222e-5	-6.87181854645543e-5	-6.990679716614899e-5
4.55889984940206e-5	4.736343725878258e-5	5.593401374226376e-5	6.0622337503769076e-5	5.618755346684582e-5	4.113129253011665e-5	1.8194363369459436e-5	-8.505177346157712e-6	-2.2970667170996e-5	-3.0218515477734378e-5	-3.763812767372605e-5	-4.688242405810557e-5	-5.923723139311123e-5	-6.988946117965456e-5	-7.559556723791695e-5	-7.647653819747714e-5
3.3041392701993954e-5	3.448446050306087e-5	4.33090765092648e-5	5.1509159542658847e-5	4.6047427702358415e-5	3.112706061446399e-5	1.1678683739699928e-5	-9.150001180853421e-6	-2.4214388363610757e-5	-3.454265251178455e-5	-4.4885455015086144e-5	-5.623270144750406e-5	-6.807790043211886e-5	-7.730380151238291e-5	-8.285987186139951e-5	-8.35711594323506e-5
1.675709071800532e-5	1.8140879395430945e-5	2.5851060117685048e-5	3.427411902459093e-5	3.1402049080352394e-5	1.979145357694708e-5	3.518000150187455e-6	-1.0879514186909036e-5	-2.4713387007117303e-5	-3.775783246975593e-5	-5.0042044548491665e-5	-6.120607342005654e-5	-7.190766539177223e-5	-7.9706081490062e-5	-8.530888199953224e-5	-8.615516185811849e-5
-1.7700023163666674e-6	-1.5747884146981197e-6	2.4221979727429878e-6	8.117525486723177e-6	1.087186430644816e-5	8.813021462995374e-6	-7.653540462552414e-7	-1.3294664957450985e-5	-2.7346071604267876e-5	-4.03268826794192e-5	-5.079661172317554e-5	-5.890726710766034e-5	-6.76823124188067e-5	-7.460592144671192e-5	-8.066111563227626e-5	-8.214715491093396e-5
-1.92269448756731e-5	-1.8965177674363468e-5	-1.6694728169240115e-5	-1.3363029155067968e-5	-8.955814035013169e-6	-6.421044849145826e-6	-7.167058683977417e-6	-1.6566609847983043e-5	-3.117736075055507e-5	-4.096541259479058e-5	-4.9018645768435725e-5	-5.575663885709797e-5	-6.236652615852328e-5	-6.851654740786138e-5	-7.491059717493115e-5	-7.705657596066225e-5
