name,J_final,w_RMSE_true,u1_RMSE,v1_RMSE,uv_RMSE
random,8.0921462732228233e-05,3.1397137519797343e-02,4.4586642894635114e-05,5.2044653354402534e-05,6.8531851480852608e-05
flat_mid,8.2778819417913161e-05,3.5380271200273296e-02,7.3114921706508553e-05,3.4767726954561985e-05,8.0960401516641777e-05
flat_high,1.0066540726316964e-04,2.2413206664721453e-02,7.5900245993391118e-05,4.4560821470783344e-05,8.8014283795349418e-05
flat_low,3.9481098686195749e-04,6.1553401874992926e-02,1.4058292302290999e-04,7.4544611153939071e-05,1.5912403117617849e-04
shifted,4.6578595466450617e-04,1.3525259077422028e-02,1.1552959279096516e-04,1.1964978380288221e-04,1.6632245060280553e-04
sin_x,1.7992328442185100e-03,4.4632713745755705e-02,3.2146816957411787e-04,1.7982130481410615e-04,3.6834424892263695e-04
