-4.1169589655221106e-5	-4.001459187585941e-5	-3.593301846110334e-5	-2.775754689602456e-5	-1.547539841346686e-5	3.0376143718045204e-7	1.9012770505364698e-5	3.8783939216391534e-5	5.559337144454417e-5	6.661303098146076e-5	7.090990226708426e-5	6.897446816457597e-5	6.355034962397181e-5	5.7815129519560565e-5	5.3826124198049505e-5	5.221422653127624e-5
-4.1191858466990954e-5	-4.0252365337541205e-5	-3.63359206937481e-5	-2.817509749230109e-5	-1.5854787946644063e-5	4.733315154561123e-8	1.9171152781272615e-5	3.911439280072677e-5	5.5652850784594524e-5	6.627322843911999e-5	7.04395732931477e-5	6.83581982644768e-5	6.262441631179575e-5	5.6762891037911555e-5	5.2659375580440485e-5	5.093344109134831e-5
-4.171757938590322e-5	-4.069133642825118e-5	-3.6725394216806265e-5	-2.928960787820507e-5	-1.566473149675811e-5	1.197014245530952e-6	2.041817816541598e-5	3.9798986457856434e-5	5.612733454961452e-5	6.588280820542703e-5	6.95719794143293e-5	6.695771694324054e-5	6.0647216815898396e-5	5.4448477366166796e-5	5.010675137439354e-5	4.827596752521703e-5
-4.1780984394956225e-5	-4.05159792175512e-5	-3.673947861838542e-5	-2.7864121476749832e-5	-1.3555889746380144e-5	2.522926906538584e-6	2.1841263607788087e-5	4.075211710784122e-5	5.6879333533637255e-5	6.547630230664708e-5	6.819324821661396e-5	6.460950507305952e-5	5.759130408981958e-5	5.090480001693643e-5	4.620226690152927e-5	4.419941301951353e-5
-4.0144840609969965e-5	-3.859891328879619e-5	-3.39866840524017e-5	-2.2981077175152705e-5	-1.1618228647014214e-5	4.892699951344057e-6	2.3869375493513383e-5	4.280134991634508e-5	5.7446932188635425e-5	6.527288500918275e-5	6.57595668430665e-5	6.0321674673356035e-5	5.2342176143797825e-5	4.5164368067384286e-5	4.0159175089495534e-5	3.8030255898609255e-5
-3.2514007166136697e-5	-3.115962256711028e-5	-2.4874005424998483e-5	-1.6794190288800873e-5	-5.38118326079488e-6	9.877542009298162e-6	2.7774926127503837e-5	4.6496396629917186e-5	5.8438479746012487e-5	6.360950320615394e-5	6.098124381960604e-5	5.286994644810043e-5	4.359334291081723e-5	3.5819633994062304e-5	3.060077651801177e-5	2.8418321739364424e-5
-1.717382610831738e-5	-1.655295325911127e-5	-1.4830789482441354e-5	-1.126206356800248e-5	9.012868932255225e-8	1.4071369372722236e-5	3.283448654111006e-5	5.027298970486842e-5	5.912483678785583e-5	5.85537329863274e-5	5.068839420083892e-5	3.956759347521061e-5	2.880251586680465e-5	2.0294358343648936e-5	1.5053750881624788e-5	1.2921351832719582e-5
-7.041409213973907e-6	-5.877524832224228e-6	-2.963464194975893e-6	4.193466445056942e-6	1.1526822351046374e-5	1.9871344187688767e-5	3.543220128089063e-5	4.80752610094071e-5	5.065017016378607e-5	4.5108033001473843e-5	3.307990763775934e-5	1.8932358721542692e-5	5.777991221517025e-6	-3.962398255743908e-6	-9.26347787767349e-6	-1.1154693445844998e-5
1.1258180829495603e-5	1.1470616615312328e-5	1.2523972458707163e-5	1.4117745467385291e-5	1.863566071437509e-5	2.612409038392739e-5	3.645268814253559e-5	4.324596100126625e-5	3.927403837962034e-5	2.9165676618282422e-5	1.3213809048134785e-5	-4.489252584138965e-6	-1.987654532472045e-5	-3.027250153063054e-5	-3.577445644696936e-5	-3.751813841585502e-5
1.8766403514594815e-5	1.9352780880133545e-5	2.0540912307180596e-5	2.2075244130383357e-5	2.5385514260751823e-5	3.079940433957709e-5	3.593209673581473e-5	3.7783349400555554e-5	3.2323681387522274e-5	1.8145676127100928e-5	-3.3163051679683252e-6	-2.513652675504504e-5	-4.1196572075231835e-5	-5.197320019393985e-5	-5.7895138192818205e-5	-5.980966436067739e-5
2.726801151067403e-5	2.7910095077904448e-5	2.9008531499865675e-5	3.0403457438645556e-5	3.2377156815426874e-5	3.490781805584944e-5	3.5811294021890005e-5	3.400039372709067e-5	2.7185875570950725e-5	9.192890995828437e-6	-1.7070296275176482e-5	-3.8675715153585905e-5	-5.4877358150456554e-5	-6.606682218121451e-5	-7.233196127692939e-5	-7.454792937838025e-5
3.229253604891441e-5	3.263906701302566e-5	3.305662911990185e-5	3.392149225277979e-5	3.498511377204427e-5	3.6205839424942516e-5	3.5918497724307425e-5	3.220375940838138e-5	2.325938265544282e-5	1.8783725138008775e-6	-2.5966097395851382e-5	-4.8011568255679015e-5	-6.421307439534506e-5	-7.575623609230398e-5	-8.25455115866551e-5	-8.505732436902186e-5
3.664647038777413e-5	3.676135806485745e-5	3.678453997195999e-5	3.685962199005227e-5	3.6844860880654376e-5	3.640423988278651e-5	3.464907816094331e-5	2.9092601254866707e-5	1.8527719892576853e-5	-4.170513463992633e-6	-3.089667168579448e-5	-5.329627929674002e-5	-6.975301416206462e-5	-8.218925513804831e-5	-8.922109906691017e-5	-9.177692252972021e-5
3.923830458737174e-5	3.930088590841361e-5	3.913307814213459e-5	3.883867095082411e-5	3.8262406861068606e-5	3.6617822230182776e-5	3.296396669139718e-5	2.540924873221744e-5	1.3702382340203394e-5	-7.835431147558013e-6	-3.409381892828414e-5	-5.6089323566305474e-5	-7.334376031615657e-5	-8.598015922496024e-5	-9.313635581197993e-5	-9.567886015803321e-5
4.155416182862978e-5	4.1581911163888325e-5	4.1305642051636194e-5	4.074687323478009e-5	3.98915875891579e-5	3.769142789812651e-5	3.2770980307615194e-5	2.3522571536018622e-5	1.0647714515540242e-5	-9.354619000588951e-6	-3.4839481309606614e-5	-5.638522465955712e-5	-7.413724036651852e-5	-8.697338172411484e-5	-9.429474158665789e-5	-9.69357687759494e-5
4.2336937150814656e-5	4.225150758216812e-5	4.187029807031892e-5	4.111915361766291e-5	3.997966340341406e-5	3.756511397066828e-5	3.245860575635406e-5	2.3327199655151992e-5	1.0668261473877564e-5	-9.72106363253053e-6	-3.505968980725815e-5	-5.685573851702073e-5	-7.495828243934553e-5	-8.798731975703003e-5	-9.542906593543697e-5	-9.815664725030745e-5
